"id_cp_interaction","interacting_pair","partner_a","partner_b","gene_a","gene_b","secreted","receptor_a","receptor_b","annotation_strategy","is_integrin","rank","cell1:cell2","pvalue","avgExpr","cell1","cell2"
"CPI-SS0D81C6C1D","WNT7B_FZD1","simple:P56706","simple:Q9UP38","ENSG00000188064","ENSG00000157240","True","False","True","curated","False",0.017,"Injured Tubule|Pericytes",0,0.17,"Injured Tubule","Pericytes"
"CPI-SS070B0E458","IL16_GRIN2A","simple:Q14005","simple:Q12879","ENSG00000172349","ENSG00000183454","True","False","True","I2D","False",0.017,"Monocytes|Fibroblast",0,0.157,"Monocytes","Fibroblast"
"CPI-SS070B0E458","IL16_GRIN2A","simple:Q14005","simple:Q12879","ENSG00000172349","ENSG00000183454","True","False","True","I2D","False",0.017,"Monocytes|Pericytes",0,0.146,"Monocytes","Pericytes"
"CPI-SS070B0E458","IL16_GRIN2A","simple:Q14005","simple:Q12879","ENSG00000172349","ENSG00000183454","True","False","True","I2D","False",0.017,"Myofibroblast|Fibroblast",0,0.145,"Myofibroblast","Fibroblast"
"CPI-SS070B0E458","IL16_GRIN2A","simple:Q14005","simple:Q12879","ENSG00000172349","ENSG00000183454","True","False","True","I2D","False",0.017,"Myofibroblast|Pericytes",0,0.134,"Myofibroblast","Pericytes"
"CPI-SS0D81C6C1D","WNT7B_FZD1","simple:P56706","simple:Q9UP38","ENSG00000188064","ENSG00000157240","True","False","True","curated","False",0.017,"Injured Tubule|Myofibroblast",0,0.122,"Injured Tubule","Myofibroblast"
"CPI-SS0D81C6C1D","WNT7B_FZD1","simple:P56706","simple:Q9UP38","ENSG00000188064","ENSG00000157240","True","False","True","curated","False",0.017,"Injured Tubule|Fibroblast",0,0.098,"Injured Tubule","Fibroblast"
"CPI-SS0755A26DD","FGF1_FGFR1","simple:P05230","simple:P11362","ENSG00000113578","ENSG00000077782","True","False","True","curated","False",0.02,"Podocytes|Myofibroblast",0,1.027,"Podocytes","Myofibroblast"
"CPI-SS0755A26DD","FGF1_FGFR1","simple:P05230","simple:P11362","ENSG00000113578","ENSG00000077782","True","False","True","curated","False",0.02,"Podocytes|Fibroblast",0,0.992,"Podocytes","Fibroblast"
"CPI-SS0755A26DD","FGF1_FGFR1","simple:P05230","simple:P11362","ENSG00000113578","ENSG00000077782","True","False","True","curated","False",0.02,"Podocytes|Pericytes",0,0.912,"Podocytes","Pericytes"
"CPI-SS0F2C6A4D4","FGF18_FGFR1","simple:O76093","simple:P11362","ENSG00000156427","ENSG00000077782","True","False","True","I2D","False",0.02,"Arterioral Endothelium|Myofibroblast",0,0.27,"Arterioral Endothelium","Myofibroblast"
"CPI-SS0F2C6A4D4","FGF18_FGFR1","simple:O76093","simple:P11362","ENSG00000156427","ENSG00000077782","True","False","True","I2D","False",0.02,"Arterioral Endothelium|Fibroblast",0,0.235,"Arterioral Endothelium","Fibroblast"
"CPI-SS0F2C6A4D4","FGF18_FGFR1","simple:O76093","simple:P11362","ENSG00000156427","ENSG00000077782","True","False","True","I2D","False",0.02,"Arterioral Endothelium|Pericytes",0,0.154,"Arterioral Endothelium","Pericytes"
"CPI-SC033E22B14","PDGFB_PDGFR complex","simple:P01127","complex:PDGFR complex","ENSG00000100311","","True","False","True","curated","False",0.021,"Arterioral Endothelium|Myofibroblast",0,0.611,"Arterioral Endothelium","Myofibroblast"
"CPI-SS0FEEB187C","PDGFB_PDGFRA","simple:P01127","simple:P16234","ENSG00000100311","ENSG00000134853","True","False","True","curated","False",0.021,"Arterioral Endothelium|Myofibroblast",0,0.611,"Arterioral Endothelium","Myofibroblast"
"CPI-SC033E22B14","PDGFB_PDGFR complex","simple:P01127","complex:PDGFR complex","ENSG00000100311","","True","False","True","curated","False",0.021,"Arterioral Endothelium|Fibroblast",0,0.598,"Arterioral Endothelium","Fibroblast"
"CPI-SS0FEEB187C","PDGFB_PDGFRA","simple:P01127","simple:P16234","ENSG00000100311","ENSG00000134853","True","False","True","curated","False",0.021,"Arterioral Endothelium|Fibroblast",0,0.598,"Arterioral Endothelium","Fibroblast"
"CPI-SC033E22B14","PDGFB_PDGFR complex","simple:P01127","complex:PDGFR complex","ENSG00000100311","","True","False","True","curated","False",0.021,"Monocytes|Myofibroblast",0,0.535,"Monocytes","Myofibroblast"
"CPI-SS0FEEB187C","PDGFB_PDGFRA","simple:P01127","simple:P16234","ENSG00000100311","ENSG00000134853","True","False","True","curated","False",0.021,"Monocytes|Myofibroblast",0,0.535,"Monocytes","Myofibroblast"
"CPI-SC033E22B14","PDGFB_PDGFR complex","simple:P01127","complex:PDGFR complex","ENSG00000100311","","True","False","True","curated","False",0.021,"Monocytes|Fibroblast",0,0.522,"Monocytes","Fibroblast"
"CPI-SS0FEEB187C","PDGFB_PDGFRA","simple:P01127","simple:P16234","ENSG00000100311","ENSG00000134853","True","False","True","curated","False",0.021,"Monocytes|Fibroblast",0,0.522,"Monocytes","Fibroblast"
"CPI-SC033E22B14","PDGFB_PDGFR complex","simple:P01127","complex:PDGFR complex","ENSG00000100311","","True","False","True","curated","False",0.021,"Dendritic Cells|Myofibroblast",0,0.475,"Dendritic Cells","Myofibroblast"
