Gene	Cell_Type	Cell_Type2	Source
HSD11B2	Collecting system - PCs - Stressed Dissoc Subset	Epithelial	Lake2019
RBPMS	Collecting system - PCs - Stressed Dissoc Subset	Epithelial	Lake2019
MYO10	Collecting system - PCs - Stressed Dissoc Subset	Epithelial	Lake2019
SCIN	Collecting system - PCs - Stressed Dissoc Subset	Epithelial	Lake2019
HIF1A	Collecting system - PCs - Stressed Dissoc Subset	Epithelial	Lake2019
TANC2	Collecting system - PCs - Stressed Dissoc Subset	Epithelial	Lake2019
PARK2	Collecting system - PCs - Stressed Dissoc Subset	Epithelial	Lake2019
AHI1	Collecting system - PCs - Stressed Dissoc Subset	Epithelial	Lake2019
RP11-368L12.1	Collecting system - PCs - Stressed Dissoc Subset	Epithelial	Lake2019
ITGAV	Collecting system - PCs - Stressed Dissoc Subset	Epithelial	Lake2019
RORA	Collecting system - PCs - Stressed Dissoc Subset	Epithelial	Lake2019
MAPK8	Collecting system - PCs - Stressed Dissoc Subset	Epithelial	Lake2019
ZNF292	Collecting system - PCs - Stressed Dissoc Subset	Epithelial	Lake2019
SMYD3	Collecting system - PCs - Stressed Dissoc Subset	Epithelial	Lake2019
ZFAND3	Collecting system - PCs - Stressed Dissoc Subset	Epithelial	Lake2019
NLK	Collecting system - PCs - Stressed Dissoc Subset	Epithelial	Lake2019
EPB41L5	Collecting system - PCs - Stressed Dissoc Subset	Epithelial	Lake2019
LRP1B	Collecting system - PCs - Stressed Dissoc Subset	Epithelial	Lake2019
RNF19A	Collecting system - PCs - Stressed Dissoc Subset	Epithelial	Lake2019
GDF15	Collecting system - PCs - Stressed Dissoc Subset	Epithelial	Lake2019
ASAP2	Collecting system - PCs - Stressed Dissoc Subset	Epithelial	Lake2019
DCDC2	Collecting system - PCs - Stressed Dissoc Subset	Epithelial	Lake2019
SDK1	Collecting system - PCs - Stressed Dissoc Subset	Epithelial	Lake2019
TRPS1	Collecting system - PCs - Stressed Dissoc Subset	Epithelial	Lake2019
HERC1	Collecting system - PCs - Stressed Dissoc Subset	Epithelial	Lake2019
IGFBP5	Collecting system - PCs - Stressed Dissoc Subset	Epithelial	Lake2019
CD2AP	Collecting system - PCs - Stressed Dissoc Subset	Epithelial	Lake2019
PFKFB3	Collecting system - PCs - Stressed Dissoc Subset	Epithelial	Lake2019
FHOD3	Collecting system - PCs - Stressed Dissoc Subset	Epithelial	Lake2019
PDK4	Collecting system - PCs - Stressed Dissoc Subset	Epithelial	Lake2019
MTATP6P1	Collecting system - PCs - Stressed Dissoc Subset	Epithelial	Lake2019
LAMB1	Collecting system - PCs - Stressed Dissoc Subset	Epithelial	Lake2019
COL18A1	Collecting system - PCs - Stressed Dissoc Subset	Epithelial	Lake2019
WWTR1	Collecting system - PCs - Stressed Dissoc Subset	Epithelial	Lake2019
RAPGEF2	Collecting system - PCs - Stressed Dissoc Subset	Epithelial	Lake2019
MBD5	Collecting system - PCs - Stressed Dissoc Subset	Epithelial	Lake2019
SMARCA2	Collecting system - PCs - Stressed Dissoc Subset	Epithelial	Lake2019
BACH1	Collecting system - PCs - Stressed Dissoc Subset	Epithelial	Lake2019
NFE2L2	Collecting system - PCs - Stressed Dissoc Subset	Epithelial	Lake2019
ADAMTS9-AS2	Collecting system - PCs - Stressed Dissoc Subset	Epithelial	Lake2019
HNRNPC	Collecting system - PCs - Stressed Dissoc Subset	Epithelial	Lake2019
AC004980.7	Collecting system - PCs - Stressed Dissoc Subset	Epithelial	Lake2019
VMP1	Collecting system - PCs - Stressed Dissoc Subset	Epithelial	Lake2019
MACROD2	Collecting system - PCs - Stressed Dissoc Subset	Epithelial	Lake2019
KIAA1217	Collecting system - PCs - Stressed Dissoc Subset	Epithelial	Lake2019
ACSL4	Collecting system - PCs - Stressed Dissoc Subset	Epithelial	Lake2019
MED13L	Collecting system - PCs - Stressed Dissoc Subset	Epithelial	Lake2019
FER	Collecting system - PCs - Stressed Dissoc Subset	Epithelial	Lake2019
IL6ST	Collecting system - PCs - Stressed Dissoc Subset	Epithelial	Lake2019
SPTBN1	Collecting system - PCs - Stressed Dissoc Subset	Epithelial	Lake2019
DANT2	Collecting system - PCs - Stressed Dissoc Subset	Epithelial	Lake2019
UBE2D3	Collecting system - PCs - Stressed Dissoc Subset	Epithelial	Lake2019
ABLIM1	Collecting system - PCs - Stressed Dissoc Subset	Epithelial	Lake2019
QKI	Collecting system - PCs - Stressed Dissoc Subset	Epithelial	Lake2019
NCOA7	Collecting system - PCs - Stressed Dissoc Subset	Epithelial	Lake2019
TIMP3	Collecting system - PCs - Stressed Dissoc Subset	Epithelial	Lake2019
WWC1	Collecting system - PCs - Stressed Dissoc Subset	Epithelial	Lake2019
SIK2	Collecting system - PCs - Stressed Dissoc Subset	Epithelial	Lake2019
SPAG9	Collecting system - PCs - Stressed Dissoc Subset	Epithelial	Lake2019
AHNAK	Collecting system - PCs - Stressed Dissoc Subset	Epithelial	Lake2019
RBM47	Collecting system - PCs - Stressed Dissoc Subset	Epithelial	Lake2019
ZFAND5	Collecting system - PCs - Stressed Dissoc Subset	Epithelial	Lake2019
RANBP2	Collecting system - PCs - Stressed Dissoc Subset	Epithelial	Lake2019
CAST	Collecting system - PCs - Stressed Dissoc Subset	Epithelial	Lake2019
PAWR	Collecting system - PCs - Stressed Dissoc Subset	Epithelial	Lake2019
FBXL17	Collecting system - PCs - Stressed Dissoc Subset	Epithelial	Lake2019
SAMD12	Collecting system - PCs - Stressed Dissoc Subset	Epithelial	Lake2019
SLC38A1	Collecting system - PCs - Stressed Dissoc Subset	Epithelial	Lake2019
OSBPL3	Collecting system - PCs - Stressed Dissoc Subset	Epithelial	Lake2019
UACA	Collecting system - PCs - Stressed Dissoc Subset	Epithelial	Lake2019
ATXN1	Collecting system - PCs - Stressed Dissoc Subset	Epithelial	Lake2019
TRA2A	Collecting system - PCs - Stressed Dissoc Subset	Epithelial	Lake2019
AFF1	Collecting system - PCs - Stressed Dissoc Subset	Epithelial	Lake2019
MEF2A	Collecting system - PCs - Stressed Dissoc Subset	Epithelial	Lake2019
RALGAPA1	Collecting system - PCs - Stressed Dissoc Subset	Epithelial	Lake2019
ZNF704	Collecting system - PCs - Stressed Dissoc Subset	Epithelial	Lake2019
EXT1	Collecting system - PCs - Stressed Dissoc Subset	Epithelial	Lake2019
SSH2	Collecting system - PCs - Stressed Dissoc Subset	Epithelial	Lake2019
PRKCE	Collecting system - PCs - Stressed Dissoc Subset	Epithelial	Lake2019
ARID1B	Collecting system - PCs - Stressed Dissoc Subset	Epithelial	Lake2019
MAML3	Collecting system - PCs - Stressed Dissoc Subset	Epithelial	Lake2019
CLMN	Collecting system - PCs - Stressed Dissoc Subset	Epithelial	Lake2019
IQGAP1	Collecting system - PCs - Stressed Dissoc Subset	Epithelial	Lake2019
ARHGEF12	Collecting system - PCs - Stressed Dissoc Subset	Epithelial	Lake2019
MAGI3	Collecting system - PCs - Stressed Dissoc Subset	Epithelial	Lake2019
MTUS1	Collecting system - PCs - Stressed Dissoc Subset	Epithelial	Lake2019
LINC-PINT	Collecting system - PCs - Stressed Dissoc Subset	Epithelial	Lake2019
AQP2	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
AQP3	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
FXYD4	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
ST6GAL1	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
KRT19	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
HSD11B2	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
ID1	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
TMSB4X	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
PAPPA	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
WFDC2	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
TSPAN1	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
TGFBR1	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
RASD1	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
ATHL1	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
SLC38A1	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
MMP7	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
RALBP1	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
PRDX1	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
IGFBP3	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
PDK4	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
BTG2	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
MNS1	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
GSTP1	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
CTSH	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
FUCA1	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
PWRN1	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
KRT8	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
CD24	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
KITLG	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
EPCAM	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
NUPR1	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
GATA3	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
CDH16	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
ITM2B	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
ACTG1	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
SPTBN2	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
C1orf168	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
TMBIM6	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
H3F3B	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
CD9	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
SLC16A5	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
ASAH1	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
RPL3	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
HSP90AA1	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
MYL12B	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
DUSP6	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
EEF1A1	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
CYB5A	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
TOX	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
GSTM3	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
HSP90B1	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
RPL7	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
ARG2	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
RPL19	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
RDH10	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
B2M	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
CYSTM1	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
BAG1	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
GDF15	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
RPL10	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
BMPR1B	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
DUSP1	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
RPLP0	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
GAPDH	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
SOD1	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
RPS2	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
MYL6	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
UBB	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
AKR1B1	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
SRP14	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
RPS6	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
RBBP8	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
PFKFB3	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
RPS4X	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
ATP6V0E1	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
PEBP1	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
RPL13	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
HACD3	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
KRT18	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
CA2	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
AIF1L	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
CLU	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
LDHB	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
MYL12A	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
RPS3A	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
EIF1	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
CD164	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
PLEKHA2	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
PTBP3	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
MAL2	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
RPL11	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
CD63	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
RPS14	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
TACSTD2	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
TPM4	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
RPS18	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
TPT1	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
PIK3C2G	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
DYNLT1	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
TXNIP	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
S100A10	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
RPL15	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
IGFBP7	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
SLPI	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
SARAF	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
RTN4	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
GNB2L1	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
HSPD1	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
S100A6	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
NGFRAP1	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
IFITM3	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
ITM2C	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
RPS5	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
RPS27A	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
STIM2	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
PDIA6	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
LAMTOR5	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
GPRC5C	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
CALM1	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
RPL7A	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
FTH1	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
NACA	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
PRKAR1A	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
COX4I1	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
ADGRG1	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
MAN1A1	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
LDHA	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
EID1	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
PSMA7	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
RPL31	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
RPL5	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
AC013463.2	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
RPS23	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
MECOM	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
CRYAB	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
BTF3	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
ATP6V1G1	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
HSP90AB1	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
ZFP36L1	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
RPS19	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
ALDOA	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
NPM1	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
RPL10A	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
EPRS	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
PPIA	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
SOD2	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
CHCHD2	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
RPSA	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
C11orf80	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
METAP2	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
RPL13A	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
MYH10	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
PLSCR1	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
THSD7A	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
RPL6	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
REEP5	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
TMEM213	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
PPIB	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
PDIA3	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
SGPP1	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
RPS8	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
CREM	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
SLC44A1	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
YWHAB	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
HLA-B	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
NDRG1	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
LITAF	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
GPX1	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
PFDN5	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
ATP5B	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
ISCU	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
CANX	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
MAL	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
TGOLN2	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
MYO1B	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
RPL30	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
CNBP	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
RPS12	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
RPL18	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
EIF4A2	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
RTN3	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
RPL8	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
GABARAPL1	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
RPS9	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
SCIN	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
SAT1	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
RPL9	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
IFITM2	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
KCNJ16	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
RPS20	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
PRDX6	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
CIB1	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
HINT1	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
CD81	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
FAU	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
IQGAP1	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
DDX5	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
RPL4	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
FTL	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
PDE1A	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
RPLP1	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
GUK1	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
RHOA	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
MGST3	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
RPS11	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
HLA-C	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
ATP5C1	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
GNAS	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
ANXA2	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
RP11-745O10.4	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
HADHA	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
ARF1	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
PRKAG2	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
ARPC2	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
SEC62	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
PSAP	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
RPS13	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
PTGES3	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
RPS15	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
TPI1	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
CXXC5	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
C12orf75	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
HNRNPA2B1	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
RPL41	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
ATP5G3	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
RPS27	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
SERF2	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
RPL14	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
RPLP2	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
PTPN13	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
KIF5B	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
LAPTM4A	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
UBA52	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
RPL35	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
DSP	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
ACTR2	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
TMEM59	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
XRCC5	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
RPS16	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
ENO1	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
ATP6V1A	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
PABPC1	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
EIF4G2	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
NDUFA4	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
PKM	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
RPL24	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
SKIL	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
PGK1	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
RPL21	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
RANBP2	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
TAX1BP1	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
CA12	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
PLCL2	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
PTMA	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
RPS7	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
RPS25	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
MTUS1	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
APLP2	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
ATP5A1	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
CCT6A	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
SERBP1	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
EEF2	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
ACADVL	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
LLGL2	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
RPL34	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
RPL32	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
SPTBN1	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
NUCKS1	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
YBX1	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
HNRNPU	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
RPL12	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
SMARCA5	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
COX7C	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
SEPT11	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
FAM107B	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
ACAT1	Collecting Duct - Principal Cells (medulla)	Epithelial	Lake2019
