Gene	Cell_Type	Cell_Type2	Source
Vwf	Endothelial Cell (Lymphatic)	Endothelial	Clark2019
Plvap	Endothelial Cell (Fenestrated)	Endothelial	Clark2019
Cd34	Endothelial Cell (Fenestrated)	Endothelial	Clark2019
Pecam1	Endothelial Cell (Fenestrated)	Endothelial	Clark2019
Plvap	Endothelial Cell	Endothelial	Clark2019
Emcn	Endothelial Cell	Endothelial	Clark2019
Tspan8	Endothelial Cell	Endothelial	Clark2019
Adgrl4	Endothelial Cell	Endothelial	Clark2019
Plac8	Endothelial Cell	Endothelial	Clark2019
Tek	Endothelial Cell	Endothelial	Clark2019
Eng	Endothelial Cell	Endothelial	Clark2019
Kdr	Endothelial Cell	Endothelial	Clark2019
Pecam1	Endothelial Cell	Endothelial	Clark2019
Ets1	Endothelial Cell	Endothelial	Clark2019
SPATA22	Epithelial Cells (unassigned)	Epithelial	Lake2019
PAMR1	Epithelial Cells (unassigned)	Epithelial	Lake2019
CTD-3037G24.3	Epithelial Cells (unassigned)	Epithelial	Lake2019
RP11-452H21.1	Epithelial Cells (unassigned)	Epithelial	Lake2019
CMC2	Epithelial Cells (unassigned)	Epithelial	Lake2019
CSMD2	Epithelial Cells (unassigned)	Epithelial	Lake2019
TAOK1	Epithelial Cells (unassigned)	Epithelial	Lake2019
NHS	Epithelial Cells (unassigned)	Epithelial	Lake2019
NRG3	Epithelial Cells (unassigned)	Epithelial	Lake2019
PTH1R	Epithelial Cells (unassigned)	Epithelial	Lake2019
DLGAP1	Epithelial Cells (unassigned)	Epithelial	Lake2019
TRABD2B	Epithelial Cells (unassigned)	Epithelial	Lake2019
SLC13A3	Epithelial Cells (unassigned)	Epithelial	Lake2019
PBX1	Epithelial Cells (unassigned)	Epithelial	Lake2019
C10orf11	Epithelial Cells (unassigned)	Epithelial	Lake2019
PTPRD	Epithelial Cells (unassigned)	Epithelial	Lake2019
LRP2	Epithelial Cells (unassigned)	Epithelial	Lake2019
MACROD2	Epithelial Cells (unassigned)	Epithelial	Lake2019
GMDS-AS1	Epithelial Cells (unassigned)	Epithelial	Lake2019
MAST4	Epithelial Cells (unassigned)	Epithelial	Lake2019
CALD1	Epithelial Cells (unassigned)	Epithelial	Lake2019
MEIS2	Epithelial Cells (unassigned)	Epithelial	Lake2019
FARP1	Epithelial Cells (unassigned)	Epithelial	Lake2019
EPB41L3	Epithelial Cells (unassigned)	Epithelial	Lake2019
CPQ	Epithelial Cells (unassigned)	Epithelial	Lake2019
GPX3	Epithelial Cells (unassigned)	Epithelial	Lake2019
ZBTB16	Epithelial Cells (unassigned)	Epithelial	Lake2019
TLN2	Epithelial Cells (unassigned)	Epithelial	Lake2019
PLCL1	Epithelial Cells (unassigned)	Epithelial	Lake2019
SLC5A12	Epithelial Cells (unassigned)	Epithelial	Lake2019
NPAS3	Epithelial Cells (unassigned)	Epithelial	Lake2019
RAPGEF2	Epithelial Cells (unassigned)	Epithelial	Lake2019
PTPRO	Podocytes	Epithelial	Lake2019
MAGI2	Podocytes	Epithelial	Lake2019
PTPRQ	Podocytes	Epithelial	Lake2019
PLA2R1	Podocytes	Epithelial	Lake2019
NPHS2	Podocytes	Epithelial	Lake2019
CLIC5	Podocytes	Epithelial	Lake2019
NTNG1	Podocytes	Epithelial	Lake2019
NPHS1	Podocytes	Epithelial	Lake2019
ST6GALNAC3	Podocytes	Epithelial	Lake2019
PODXL	Podocytes	Epithelial	Lake2019
CTGF	Podocytes	Epithelial	Lake2019
PLCE1	Podocytes	Epithelial	Lake2019
DPP6	Podocytes	Epithelial	Lake2019
NPAS3	Podocytes	Epithelial	Lake2019
FGF1	Podocytes	Epithelial	Lake2019
ADAMTS19	Podocytes	Epithelial	Lake2019
CTC-340A15.2	Podocytes	Epithelial	Lake2019
FMN2	Podocytes	Epithelial	Lake2019
CH17-437K3.1	Podocytes	Epithelial	Lake2019
DACH1	Podocytes	Epithelial	Lake2019
MAGI2-AS3	Podocytes	Epithelial	Lake2019
TARID	Podocytes	Epithelial	Lake2019
