Gene	Cell Type	General Cell Type
PTGER3	Distal Convoluted Tubule	Epithelial
PKHD1	Distal Convoluted Tubule	Epithelial
FRMD3	Distal Convoluted Tubule	Epithelial
LRBA	Distal Convoluted Tubule	Epithelial
CACNA1D	Distal Convoluted Tubule	Epithelial
TOX3	Distal Convoluted Tubule	Epithelial
ITPR1	Distal Convoluted Tubule	Epithelial
USP24	Distal Convoluted Tubule	Epithelial
DANT2	Distal Convoluted Tubule	Epithelial
XIST	Distal Convoluted Tubule	Epithelial
PKP4	Distal Convoluted Tubule	Epithelial
NOS1AP	Distal Convoluted Tubule	Epithelial
FREM1	Distal Convoluted Tubule	Epithelial
LRCH1	Distal Convoluted Tubule	Epithelial
EFNA5	Distal Convoluted Tubule	Epithelial
CLASP1	Distal Convoluted Tubule	Epithelial
VAV3	Distal Convoluted Tubule	Epithelial
NAALADL2	Distal Convoluted Tubule	Epithelial
ADAMTS9-AS2	Distal Convoluted Tubule	Epithelial
KLHL13	Distal Convoluted Tubule	Epithelial
OSBPL3	Distal Convoluted Tubule	Epithelial
OPHN1	Distal Convoluted Tubule	Epithelial
PPARGC1A	Distal Convoluted Tubule	Epithelial
ADGRL2	Distal Convoluted Tubule	Epithelial
CBLB	Distal Convoluted Tubule	Epithelial
ATXN1	Distal Convoluted Tubule	Epithelial
CA12	Distal Convoluted Tubule	Epithelial
PTPN4	Distal Convoluted Tubule	Epithelial
BICC1	Distal Convoluted Tubule	Epithelial
C10orf11	Distal Convoluted Tubule	Epithelial
RNF150	Distal Convoluted Tubule	Epithelial
ACSL4	Distal Convoluted Tubule	Epithelial
GRB14	Distal Convoluted Tubule	Epithelial
INPP4B	Distal Convoluted Tubule	Epithelial
LGR4	Distal Convoluted Tubule	Epithelial
FNDC3B	Distal Convoluted Tubule	Epithelial
FBXL17	Distal Convoluted Tubule	Epithelial
MSI2	Distal Convoluted Tubule	Epithelial
GPHN	Distal Convoluted Tubule	Epithelial
LIMCH1	Distal Convoluted Tubule	Epithelial
NAV2	Distal Convoluted Tubule	Epithelial
TACC1	Distal Convoluted Tubule	Epithelial
PTH2R	Distal Convoluted Tubule	Epithelial
SOX6	Distal Convoluted Tubule	Epithelial
RP11-96H19.1	Distal Convoluted Tubule	Epithelial
NHS	Distal Convoluted Tubule	Epithelial
RORA	Distal Convoluted Tubule	Epithelial
ARHGAP24	Distal Convoluted Tubule	Epithelial
KCNIP4	Distal Convoluted Tubule	Epithelial
KLF12	Distal Convoluted Tubule	Epithelial
PNISR	Distal Convoluted Tubule	Epithelial
SHROOM3	Distal Convoluted Tubule	Epithelial
PDE10A	Distal Convoluted Tubule	Epithelial
CTDSPL	Distal Convoluted Tubule	Epithelial
PPP2R3A	Distal Convoluted Tubule	Epithelial
ATP1B1	Distal Convoluted Tubule	Epithelial
IVNS1ABP	Distal Convoluted Tubule	Epithelial
TAPT1-AS1	Distal Convoluted Tubule	Epithelial
CADPS2	Distal Convoluted Tubule	Epithelial
BTBD9	Distal Convoluted Tubule	Epithelial
FAAH2	Distal Convoluted Tubule	Epithelial
SNHG14	Distal Convoluted Tubule	Epithelial
TMEM161B-AS1	Distal Convoluted Tubule	Epithelial
PARD3B	Distal Convoluted Tubule	Epithelial
ANK3	Distal Convoluted Tubule	Epithelial
MEF2A	Distal Convoluted Tubule	Epithelial
TBL1X	Distal Convoluted Tubule	Epithelial
LL22NC03-2H8.5	Distal Convoluted Tubule	Epithelial
DYNC2H1	Distal Convoluted Tubule	Epithelial
SKAP1	Distal Convoluted Tubule	Epithelial
AGBL4	Distal Convoluted Tubule	Epithelial
ABLIM1	Distal Convoluted Tubule	Epithelial
DNAH14	Distal Convoluted Tubule	Epithelial
ATP9B	Distal Convoluted Tubule	Epithelial
ZNF704	Distal Convoluted Tubule	Epithelial
DPH6	Distal Convoluted Tubule	Epithelial
MAP4K3	Distal Convoluted Tubule	Epithelial
PCCA	Distal Convoluted Tubule	Epithelial
CGNL1	Distal Convoluted Tubule	Epithelial
UBR3	Distal Convoluted Tubule	Epithelial
NR2F2-AS1	Distal Convoluted Tubule	Epithelial
AUH	Distal Convoluted Tubule	Epithelial
MAPK8	Distal Convoluted Tubule	Epithelial
PTPRG	Distal Convoluted Tubule	Epithelial
FRAS1	Distal Convoluted Tubule	Epithelial
IMMP2L	Distal Convoluted Tubule	Epithelial
TRIM2	Distal Convoluted Tubule	Epithelial
WDR72	Distal Convoluted Tubule	Epithelial
KIAA1958	Distal Convoluted Tubule	Epithelial
ANKRD26	Distal Convoluted Tubule	Epithelial
THRB	Distal Convoluted Tubule	Epithelial
SAMD5	Distal Convoluted Tubule	Epithelial
WSB1	Distal Convoluted Tubule	Epithelial
SNX29	Distal Convoluted Tubule	Epithelial
C20orf194	Distal Convoluted Tubule	Epithelial
FTX	Distal Convoluted Tubule	Epithelial
ZNF518A	Distal Convoluted Tubule	Epithelial
USP25	Distal Convoluted Tubule	Epithelial
LRP1B	Distal Convoluted Tubule	Epithelial
MACROD2	Distal Convoluted Tubule	Epithelial
OXR1	Distal Convoluted Tubule	Epithelial
KIAA1217	Distal Convoluted Tubule	Epithelial
WWOX	Distal Convoluted Tubule	Epithelial
EXOC6B	Distal Convoluted Tubule	Epithelial
NEDD4L	Distal Convoluted Tubule	Epithelial
RABGAP1L	Distal Convoluted Tubule	Epithelial
AK3	Distal Convoluted Tubule	Epithelial
TRAPPC9	Distal Convoluted Tubule	Epithelial
SVIL	Distal Convoluted Tubule	Epithelial
UBA6-AS1	Distal Convoluted Tubule	Epithelial
RERE	Distal Convoluted Tubule	Epithelial
SCAPER	Distal Convoluted Tubule	Epithelial
PDE8A	Distal Convoluted Tubule	Epithelial
GMDS-AS1	Distal Convoluted Tubule	Epithelial
JPX	Distal Convoluted Tubule	Epithelial
CAMKMT	Distal Convoluted Tubule	Epithelial
SMYD3	Distal Convoluted Tubule	Epithelial
CRADD	Distal Convoluted Tubule	Epithelial
AGAP1	Distal Convoluted Tubule	Epithelial
RHOBTB3	Distal Convoluted Tubule	Epithelial
FAF1	Distal Convoluted Tubule	Epithelial
TNRC6A	Distal Convoluted Tubule	Epithelial
TNRC6B	Distal Convoluted Tubule	Epithelial
RAD51B	Distal Convoluted Tubule	Epithelial
SBF2	Distal Convoluted Tubule	Epithelial
FGD4	Distal Convoluted Tubule	Epithelial
MBD5	Distal Convoluted Tubule	Epithelial
HDAC8	Distal Convoluted Tubule	Epithelial
DST	Distal Convoluted Tubule	Epithelial
MTR	Distal Convoluted Tubule	Epithelial
TBC1D5	Distal Convoluted Tubule	Epithelial
COMMD10	Distal Convoluted Tubule	Epithelial
RBM25	Distal Convoluted Tubule	Epithelial
FAM172A	Distal Convoluted Tubule	Epithelial
KANSL1	Distal Convoluted Tubule	Epithelial
SIK3	Distal Convoluted Tubule	Epithelial
LINC00969	Distal Convoluted Tubule	Epithelial
AHI1	Distal Convoluted Tubule	Epithelial
VWA8	Distal Convoluted Tubule	Epithelial
TCF12	Distal Convoluted Tubule	Epithelial
QKI	Distal Convoluted Tubule	Epithelial
EXOC4	Distal Convoluted Tubule	Epithelial
CDKAL1	Distal Convoluted Tubule	Epithelial
MAN1A1	Distal Convoluted Tubule	Epithelial
BRAF	Distal Convoluted Tubule	Epithelial
NCOA1	Distal Convoluted Tubule	Epithelial
DCDC2	Distal Convoluted Tubule	Epithelial
SAMD12	Distal Convoluted Tubule	Epithelial
SH3RF1	Distal Convoluted Tubule	Epithelial
RALGAPA1	Distal Convoluted Tubule	Epithelial
VPS13B	Distal Convoluted Tubule	Epithelial
HIBCH	Distal Convoluted Tubule	Epithelial
BCAS3	Distal Convoluted Tubule	Epithelial
C14orf105	Distal Convoluted Tubule	Epithelial
NFE2L2	Distal Convoluted Tubule	Epithelial
ARHGAP5	Distal Convoluted Tubule	Epithelial
SLC8A1	Connecting Tubule	Epithelial
LINC01099	Connecting Tubule	Epithelial
CALB1	Connecting Tubule	Epithelial
AC013463.2	Connecting Tubule	Epithelial
TEX41	Connecting Tubule	Epithelial
SNTG1	Connecting Tubule	Epithelial
PIK3C2G	Connecting Tubule	Epithelial
PDE4D	Connecting Tubule	Epithelial
SCN2A	Connecting Tubule	Epithelial
CADPS2	Connecting Tubule	Epithelial
PRKG1	Connecting Tubule	Epithelial
DACH1	Connecting Tubule	Epithelial
ARL15	Connecting Tubule	Epithelial
KCNIP4	Connecting Tubule	Epithelial
MECOM	Connecting Tubule	Epithelial
CCSER1	Connecting Tubule	Epithelial
ESRRG	Connecting Tubule	Epithelial
COBLL1	Connecting Tubule	Epithelial
WNK1	Connecting Tubule	Epithelial
ERBB4	Connecting Tubule	Epithelial
AC019181.2	Connecting Tubule	Epithelial
XIST	Connecting Tubule	Epithelial
CCDC178	Connecting Tubule	Epithelial
PCDH7	Connecting Tubule	Epithelial
RP11-368L12.1	Connecting Tubule	Epithelial
BICC1	Connecting Tubule	Epithelial
NAALADL2	Connecting Tubule	Epithelial
MPPED2	Connecting Tubule	Epithelial
TOX3	Connecting Tubule	Epithelial
RP11-123O10.4	Connecting Tubule	Epithelial
FGF13	Connecting Tubule	Epithelial
DPY19L2	Connecting Tubule	Epithelial
NR3C2	Connecting Tubule	Epithelial
KITLG	Connecting Tubule	Epithelial
GLIS3	Connecting Tubule	Epithelial
LRP1B	Connecting Tubule	Epithelial
ADAMTS9-AS2	Connecting Tubule	Epithelial
BMPR1B	Connecting Tubule	Epithelial
PKHD1	Connecting Tubule	Epithelial
FRAS1	Connecting Tubule	Epithelial
FHOD3	Connecting Tubule	Epithelial
IMMP2L	Connecting Tubule	Epithelial
DCDC2	Connecting Tubule	Epithelial
MID1	Connecting Tubule	Epithelial
RAD51B	Connecting Tubule	Epithelial
GRIP1	Connecting Tubule	Epithelial
CDK6	Connecting Tubule	Epithelial
GPC5	Connecting Tubule	Epithelial
AGBL4	Connecting Tubule	Epithelial
DEFB1	Connecting Tubule	Epithelial
MLLT3	Connecting Tubule	Epithelial
DANT2	Connecting Tubule	Epithelial
SPIRE1	Connecting Tubule	Epithelial
ZNF704	Connecting Tubule	Epithelial
TMTC2	Connecting Tubule	Epithelial
FHIT	Connecting Tubule	Epithelial
ATXN1	Connecting Tubule	Epithelial
RHOBTB3	Connecting Tubule	Epithelial
KLF12	Connecting Tubule	Epithelial
ATP1B1	Connecting Tubule	Epithelial
NFE2L2	Connecting Tubule	Epithelial
MAP4K3	Connecting Tubule	Epithelial
SLIT2	Connecting Tubule	Epithelial
CSGALNACT1	Connecting Tubule	Epithelial
GAREM	Connecting Tubule	Epithelial
MITF	Connecting Tubule	Epithelial
TRHDE	Connecting Tubule	Epithelial
PPARGC1A	Connecting Tubule	Epithelial
SETBP1	Connecting Tubule	Epithelial
PCDH9	Connecting Tubule	Epithelial
PTPN13	Connecting Tubule	Epithelial
RP11-475O6.1	Connecting Tubule	Epithelial
MED13L	Connecting Tubule	Epithelial
LIMCH1	Connecting Tubule	Epithelial
GPHN	Connecting Tubule	Epithelial
WSB1	Connecting Tubule	Epithelial
MYO1B	Connecting Tubule	Epithelial
RBPMS	Connecting Tubule	Epithelial
ADGRL2	Connecting Tubule	Epithelial
HSD11B2	Connecting Tubule	Epithelial
SH3RF1	Connecting Tubule	Epithelial
FNDC3B	Connecting Tubule	Epithelial
RP11-96H19.1	Connecting Tubule	Epithelial
BCAS3	Connecting Tubule	Epithelial
FBXL17	Connecting Tubule	Epithelial
MAPK8	Connecting Tubule	Epithelial
ADK	Connecting Tubule	Epithelial
C10orf11	Connecting Tubule	Epithelial
BRE	Connecting Tubule	Epithelial
MAML2	Connecting Tubule	Epithelial
RALYL	Connecting Tubule	Epithelial
PTGER3	Connecting Tubule	Epithelial
CA12	Connecting Tubule	Epithelial
PCCA	Connecting Tubule	Epithelial
BRAF	Connecting Tubule	Epithelial
PTH2R	Connecting Tubule	Epithelial
GBE1	Connecting Tubule	Epithelial
EXOC6B	Connecting Tubule	Epithelial
RORA	Connecting Tubule	Epithelial
SMYD3	Connecting Tubule	Epithelial
BTBD9	Connecting Tubule	Epithelial
FAF1	Connecting Tubule	Epithelial
TCF12	Connecting Tubule	Epithelial
ARHGAP6	Connecting Tubule	Epithelial
SPIDR	Connecting Tubule	Epithelial
DYNC2H1	Connecting Tubule	Epithelial
OSBPL3	Connecting Tubule	Epithelial
MAPK10	Connecting Tubule	Epithelial
PRKCA	Connecting Tubule	Epithelial
EFNA5	Connecting Tubule	Epithelial
EPB41L3	Connecting Tubule	Epithelial
LRBA	Connecting Tubule	Epithelial
SBF2	Connecting Tubule	Epithelial
LAMB1	Connecting Tubule	Epithelial
SHROOM3	Connecting Tubule	Epithelial
CD2AP	Connecting Tubule	Epithelial
ITGA2	Connecting Tubule	Epithelial
ITPR1	Connecting Tubule	Epithelial
KIAA1958	Connecting Tubule	Epithelial
KMT2C	Connecting Tubule	Epithelial
STARD13	Connecting Tubule	Epithelial
SLC16A7	Connecting Tubule	Epithelial
TRPM3	Connecting Tubule	Epithelial
FNDC3A	Connecting Tubule	Epithelial
FAM172A	Connecting Tubule	Epithelial
NEBL	Connecting Tubule	Epithelial
SCAPER	Connecting Tubule	Epithelial
TMEM117	Connecting Tubule	Epithelial
SSH2	Connecting Tubule	Epithelial
ANK3	Connecting Tubule	Epithelial
KAZN	Connecting Tubule	Epithelial
NLK	Connecting Tubule	Epithelial
PPFIBP1	Connecting Tubule	Epithelial
RABGAP1L	Connecting Tubule	Epithelial
MACROD2	Connecting Tubule	Epithelial
COL4A3	Connecting Tubule	Epithelial
GULP1	Connecting Tubule	Epithelial
VAV3	Connecting Tubule	Epithelial
AUH	Connecting Tubule	Epithelial
ZFAND3	Connecting Tubule	Epithelial
LCOR	Connecting Tubule	Epithelial
AC004980.7	Connecting Tubule	Epithelial
RALGAPA1	Connecting Tubule	Epithelial
COMMD10	Connecting Tubule	Epithelial
SIK3	Connecting Tubule	Epithelial
EXT1	Connecting Tubule	Epithelial
DLG1	Connecting Tubule	Epithelial
WWTR1	Connecting Tubule	Epithelial
GLS	Connecting Tubule	Epithelial
TRAPPC9	Connecting Tubule	Epithelial
KCNJ16	Connecting Tubule	Epithelial
TANC2	Connecting Tubule	Epithelial
ARID5B	Connecting Tubule	Epithelial
JPX	Connecting Tubule	Epithelial
SCMH1	Connecting Tubule	Epithelial
C14orf105	Connecting Tubule	Epithelial
KANSL1L	Connecting Tubule	Epithelial
AHI1	Connecting Tubule	Epithelial
APBB2	Connecting Tubule	Epithelial
RASAL2	Connecting Tubule	Epithelial
FER	Connecting Tubule	Epithelial
RNPC3	Connecting Tubule	Epithelial
YAP1	Connecting Tubule	Epithelial
USP25	Connecting Tubule	Epithelial
ADAM10	Connecting Tubule	Epithelial
MEF2A	Connecting Tubule	Epithelial
AAK1	Connecting Tubule	Epithelial
EIF4G3	Connecting Tubule	Epithelial
HDAC8	Connecting Tubule	Epithelial
LGR4	Connecting Tubule	Epithelial
NFAT5	Connecting Tubule	Epithelial
MAN1A1	Connecting Tubule	Epithelial
ITGAV	Connecting Tubule	Epithelial
PPP1R9A	Connecting Tubule	Epithelial
GNAQ	Connecting Tubule	Epithelial
TOX	Connecting Tubule	Epithelial
CAMKMT	Connecting Tubule	Epithelial
ADAMTS9	Connecting Tubule	Epithelial
TOX	Collecting system - Principal Cells (cortex)	Epithelial
PWRN1	Collecting system - Principal Cells (cortex)	Epithelial
MECOM	Collecting system - Principal Cells (cortex)	Epithelial
PDE4D	Collecting system - Principal Cells (cortex)	Epithelial
PDE10A	Collecting system - Principal Cells (cortex)	Epithelial
PAPPA	Collecting system - Principal Cells (cortex)	Epithelial
LINC01482	Collecting system - Principal Cells (cortex)	Epithelial
BMPR1B	Collecting system - Principal Cells (cortex)	Epithelial
PIK3C2G	Collecting system - Principal Cells (cortex)	Epithelial
AC013463.2	Collecting system - Principal Cells (cortex)	Epithelial
CADPS2	Collecting system - Principal Cells (cortex)	Epithelial
KSR2	Collecting system - Principal Cells (cortex)	Epithelial
PRKAG2	Collecting system - Principal Cells (cortex)	Epithelial
KAZN	Collecting system - Principal Cells (cortex)	Epithelial
ABTB2	Collecting system - Principal Cells (cortex)	Epithelial
TEX41	Collecting system - Principal Cells (cortex)	Epithelial
ADAMTS9-AS2	Collecting system - Principal Cells (cortex)	Epithelial
RALYL	Collecting system - Principal Cells (cortex)	Epithelial
ARL15	Collecting system - Principal Cells (cortex)	Epithelial
CCSER1	Collecting system - Principal Cells (cortex)	Epithelial
KCTD8	Collecting system - Principal Cells (cortex)	Epithelial
COL4A5	Collecting system - Principal Cells (cortex)	Epithelial
ST6GAL1	Collecting system - Principal Cells (cortex)	Epithelial
FRAS1	Collecting system - Principal Cells (cortex)	Epithelial
RP11-123O10.4	Collecting system - Principal Cells (cortex)	Epithelial
GATA3	Collecting system - Principal Cells (cortex)	Epithelial
RAD51B	Collecting system - Principal Cells (cortex)	Epithelial
GLIS3	Collecting system - Principal Cells (cortex)	Epithelial
C11orf80	Collecting system - Principal Cells (cortex)	Epithelial
AGBL4	Collecting system - Principal Cells (cortex)	Epithelial
COBLL1	Collecting system - Principal Cells (cortex)	Epithelial
TMTC2	Collecting system - Principal Cells (cortex)	Epithelial
PRKCA	Collecting system - Principal Cells (cortex)	Epithelial
IMMP2L	Collecting system - Principal Cells (cortex)	Epithelial
MPPED2	Collecting system - Principal Cells (cortex)	Epithelial
RBPMS	Collecting system - Principal Cells (cortex)	Epithelial
KCNIP4	Collecting system - Principal Cells (cortex)	Epithelial
ERC1	Collecting system - Principal Cells (cortex)	Epithelial
ANK3	Collecting system - Principal Cells (cortex)	Epithelial
AQP2	Collecting system - Principal Cells (cortex)	Epithelial
C1orf168	Collecting system - Principal Cells (cortex)	Epithelial
PTPN13	Collecting system - Principal Cells (cortex)	Epithelial
PLCL2	Collecting system - Principal Cells (cortex)	Epithelial
NAALADL2	Collecting system - Principal Cells (cortex)	Epithelial
TRPM3	Collecting system - Principal Cells (cortex)	Epithelial
CDK6	Collecting system - Principal Cells (cortex)	Epithelial
SCN2A	Collecting system - Principal Cells (cortex)	Epithelial
THSD4	Collecting system - Principal Cells (cortex)	Epithelial
TOX3	Collecting system - Principal Cells (cortex)	Epithelial
NR3C2	Collecting system - Principal Cells (cortex)	Epithelial
GRIP1	Collecting system - Principal Cells (cortex)	Epithelial
MACC1	Collecting system - Principal Cells (cortex)	Epithelial
DCDC2	Collecting system - Principal Cells (cortex)	Epithelial
THSD7A	Collecting system - Principal Cells (cortex)	Epithelial
MAPK10	Collecting system - Principal Cells (cortex)	Epithelial
PRKG1	Collecting system - Principal Cells (cortex)	Epithelial
SLC38A1	Collecting system - Principal Cells (cortex)	Epithelial
PKHD1	Collecting system - Principal Cells (cortex)	Epithelial
SLC8A1	Collecting system - Principal Cells (cortex)	Epithelial
PDE7B	Collecting system - Principal Cells (cortex)	Epithelial
MYH10	Collecting system - Principal Cells (cortex)	Epithelial
RP1-60O19.1	Collecting system - Principal Cells (cortex)	Epithelial
GAREM	Collecting system - Principal Cells (cortex)	Epithelial
SCIN	Collecting system - Principal Cells (cortex)	Epithelial
NFAT5	Collecting system - Principal Cells (cortex)	Epithelial
TANC2	Collecting system - Principal Cells (cortex)	Epithelial
HSD11B2	Collecting system - Principal Cells (cortex)	Epithelial
PTH2R	Collecting system - Principal Cells (cortex)	Epithelial
STARD13	Collecting system - Principal Cells (cortex)	Epithelial
PDE1A	Collecting system - Principal Cells (cortex)	Epithelial
DLG2	Collecting system - Principal Cells (cortex)	Epithelial
MED13L	Collecting system - Principal Cells (cortex)	Epithelial
SDK1	Collecting system - Principal Cells (cortex)	Epithelial
ZFAND3	Collecting system - Principal Cells (cortex)	Epithelial
AKT3	Collecting system - Principal Cells (cortex)	Epithelial
AFF1	Collecting system - Principal Cells (cortex)	Epithelial
WSB1	Collecting system - Principal Cells (cortex)	Epithelial
TGFBR1	Collecting system - Principal Cells (cortex)	Epithelial
MYO1E	Collecting system - Principal Cells (cortex)	Epithelial
ARID1B	Collecting system - Principal Cells (cortex)	Epithelial
FNDC3A	Collecting system - Principal Cells (cortex)	Epithelial
SPAG16	Collecting system - Principal Cells (cortex)	Epithelial
PPP1R9A	Collecting system - Principal Cells (cortex)	Epithelial
LIMCH1	Collecting system - Principal Cells (cortex)	Epithelial
AC034220.3	Collecting system - Principal Cells (cortex)	Epithelial
NDRG1	Collecting system - Principal Cells (cortex)	Epithelial
GLS	Collecting system - Principal Cells (cortex)	Epithelial
RALBP1	Collecting system - Principal Cells (cortex)	Epithelial
XIST	Collecting system - Principal Cells (cortex)	Epithelial
NLK	Collecting system - Principal Cells (cortex)	Epithelial
PARK2	Collecting system - Principal Cells (cortex)	Epithelial
SYTL2	Collecting system - Principal Cells (cortex)	Epithelial
NR2F2-AS1	Collecting system - Principal Cells (cortex)	Epithelial
SMARCA2	Collecting system - Principal Cells (cortex)	Epithelial
DANT2	Collecting system - Principal Cells (cortex)	Epithelial
LAMB1	Collecting system - Principal Cells (cortex)	Epithelial
SH3RF1	Collecting system - Principal Cells (cortex)	Epithelial
BAZ2B	Collecting system - Principal Cells (cortex)	Epithelial
WWTR1	Collecting system - Principal Cells (cortex)	Epithelial
BTBD9	Collecting system - Principal Cells (cortex)	Epithelial
MIR99AHG	Collecting system - Principal Cells (cortex)	Epithelial
MYO10	Collecting system - Principal Cells (cortex)	Epithelial
MAN1A1	Collecting system - Principal Cells (cortex)	Epithelial
ADK	Collecting system - Principal Cells (cortex)	Epithelial
SIK2	Collecting system - Principal Cells (cortex)	Epithelial
BCAS3	Collecting system - Principal Cells (cortex)	Epithelial
SMYD3	Collecting system - Principal Cells (cortex)	Epithelial
SSH2	Collecting system - Principal Cells (cortex)	Epithelial
PCCA	Collecting system - Principal Cells (cortex)	Epithelial
FER	Collecting system - Principal Cells (cortex)	Epithelial
MACROD2	Collecting system - Principal Cells (cortex)	Epithelial
FTX	Collecting system - Principal Cells (cortex)	Epithelial
SAMD12	Collecting system - Principal Cells (cortex)	Epithelial
NLGN1	Collecting system - Principal Cells (cortex)	Epithelial
NFIB	Collecting system - Principal Cells (cortex)	Epithelial
MBD5	Collecting system - Principal Cells (cortex)	Epithelial
TRAPPC9	Collecting system - Principal Cells (cortex)	Epithelial
TRPS1	Collecting system - Principal Cells (cortex)	Epithelial
FHOD3	Collecting system - Principal Cells (cortex)	Epithelial
MAML3	Collecting system - Principal Cells (cortex)	Epithelial
SCMH1	Collecting system - Principal Cells (cortex)	Epithelial
LRBA	Collecting system - Principal Cells (cortex)	Epithelial
EPB41L4A	Collecting system - Principal Cells (cortex)	Epithelial
KCNJ16	Collecting system - Principal Cells (cortex)	Epithelial
BRAF	Collecting system - Principal Cells (cortex)	Epithelial
AHI1	Collecting system - Principal Cells (cortex)	Epithelial
PTBP3	Collecting system - Principal Cells (cortex)	Epithelial
RP11-96H19.1	Collecting system - Principal Cells (cortex)	Epithelial
CD2AP	Collecting system - Principal Cells (cortex)	Epithelial
BRE	Collecting system - Principal Cells (cortex)	Epithelial
REV3L	Collecting system - Principal Cells (cortex)	Epithelial
NBEA	Collecting system - Principal Cells (cortex)	Epithelial
PTK2	Collecting system - Principal Cells (cortex)	Epithelial
ATXN1	Collecting system - Principal Cells (cortex)	Epithelial
FNDC3B	Collecting system - Principal Cells (cortex)	Epithelial
RABGAP1L	Collecting system - Principal Cells (cortex)	Epithelial
MTR	Collecting system - Principal Cells (cortex)	Epithelial
PDE8A	Collecting system - Principal Cells (cortex)	Epithelial
LL22NC03-2H8.5	Collecting system - Principal Cells (cortex)	Epithelial
SIK3	Collecting system - Principal Cells (cortex)	Epithelial
RBBP8	Collecting system - Principal Cells (cortex)	Epithelial
MAGI3	Collecting system - Principal Cells (cortex)	Epithelial
SNHG14	Collecting system - Principal Cells (cortex)	Epithelial
THRB	Collecting system - Principal Cells (cortex)	Epithelial
FAM172A	Collecting system - Principal Cells (cortex)	Epithelial
FAF1	Collecting system - Principal Cells (cortex)	Epithelial
ROCK2	Collecting system - Principal Cells (cortex)	Epithelial
ZNF165	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
FOSB	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
HMGCS1	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
ATF3	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
LDLR	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
SLC25A25	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
NR4A1	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
CTD-3252C9.4	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
KLF6	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
EIF2AK3	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
MLF1	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
SQSTM1	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
IDI1	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
ELOVL5	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
MIR4435-2HG	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
PDE4D	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
ABTB2	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
FOS	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
CRY1	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
INSIG1	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
EGR1	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
TEX41	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
HSPA5	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
SLC19A2	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
MAP3K14	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
ZFP36	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
BTG2	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
NEAT1	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
MSMO1	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
MACC1	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
MID1	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
DDIT3	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
LMNA	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
AC073218.1	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
UPP1	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
PPARGC1A	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
FAM110B	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
ESYT2	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
AC013463.2	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
RALYL	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
MECOM	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
MYO1E	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
VCL	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
BACH2	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
TNFRSF10B	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
BMPR1B	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
CCNL1	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
WSB1	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
IFRD1	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
GLIS3	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
ATP1B3	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
ARL15	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
FNIP2	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
PWRN1	Collecting system - PCs - Stressed Dissoc Subset	Epithelial
