Gene	Cell Type	General Cell Type
Aldh1a3	Inner Medullary Collecting Duct	Epithelial
Akr1b8	Inner Medullary Collecting Duct	Epithelial
Ccl2	Inner Medullary Collecting Duct	Epithelial
Fam20a	Inner Medullary Collecting Duct	Epithelial
Elf5	Inner Medullary Collecting Duct	Epithelial
Ccl7	Inner Medullary Collecting Duct	Epithelial
Gpha2	Inner Medullary Collecting Duct	Epithelial
Ren1	Granular cell of afferent arteriole	Epithelial
Agtr1a	Granular cell of afferent arteriole	Epithelial
Adrb1	Granular cell of afferent arteriole	Epithelial
Slc12a3	Distal Convoluted Tubule	Epithelial
Pcolce	Distal Convoluted Tubule	Epithelial
Cdc42ep3	Distal Convoluted Tubule	Epithelial
Plekho1	Distal Convoluted Tubule	Epithelial
Clec4a3	Distal Convoluted Tubule	Epithelial
Kcng1	Distal Convoluted Tubule	Epithelial
Gfra1	Distal Convoluted Tubule	Epithelial
Fetub	Distal Convoluted Tubule	Epithelial
Sgca	Distal Convoluted Tubule	Epithelial
Mlana	Distal Convoluted Tubule	Epithelial
Calb1	Connecting Tubule	Epithelial
Trpv5	Connecting Tubule	Epithelial
Stap1	Connecting Tubule	Epithelial
Fam89a	Connecting Tubule	Epithelial
Ccl20	Connecting Tubule	Epithelial
Defb9	Connecting Tubule	Epithelial
Aqp2	Collecting Duct Principal Cells	Epithelial
Fxyd4	Collecting Duct Principal Cells	Epithelial
Aqp3	Collecting Duct Principal Cells	Epithelial
Lgals3	Collecting Duct Principal Cells	Epithelial
Tspan1	Collecting Duct Principal Cells	Epithelial
Tmem45b	Collecting Duct Principal Cells	Epithelial
Avpr2	Collecting Duct Principal Cells	Epithelial
Ptges	Collecting Duct Principal Cells	Epithelial
Fzd1	Collecting Duct Principal Cells	Epithelial
Aqp4	Collecting Duct Principal Cells	Epithelial
Acer2	Collecting Duct Principal Cells	Epithelial
Gata3	Collecting Duct Principal Cells	Epithelial
Stc1	Collecting Duct Principal Cells	Epithelial
Cd34	Endothelial Cell (Lymphatic)	Endothelial
Pecam1	Endothelial Cell (Lymphatic)	Endothelial
Pdpn	Endothelial Cell (Lymphatic)	Endothelial
Prox1	Endothelial Cell (Lymphatic)	Endothelial
Vwf	Endothelial Cell (Lymphatic)	Endothelial
Plvap	Endothelial Cell (Fenestrated)	Endothelial
Cd34	Endothelial Cell (Fenestrated)	Endothelial
Pecam1	Endothelial Cell (Fenestrated)	Endothelial
Plvap	Endothelial Cell	Endothelial
Emcn	Endothelial Cell	Endothelial
Tspan8	Endothelial Cell	Endothelial
Adgrl4	Endothelial Cell	Endothelial
Plac8	Endothelial Cell	Endothelial
Tek	Endothelial Cell	Endothelial
Eng	Endothelial Cell	Endothelial
Kdr	Endothelial Cell	Endothelial
Pecam1	Endothelial Cell	Endothelial
Ets1	Endothelial Cell	Endothelial
SPATA22	Epithelial Cells (unassigned)	Epithelial
PAMR1	Epithelial Cells (unassigned)	Epithelial
CTD-3037G24.3	Epithelial Cells (unassigned)	Epithelial
RP11-452H21.1	Epithelial Cells (unassigned)	Epithelial
CMC2	Epithelial Cells (unassigned)	Epithelial
CSMD2	Epithelial Cells (unassigned)	Epithelial
TAOK1	Epithelial Cells (unassigned)	Epithelial
NHS	Epithelial Cells (unassigned)	Epithelial
NRG3	Epithelial Cells (unassigned)	Epithelial
PTH1R	Epithelial Cells (unassigned)	Epithelial
DLGAP1	Epithelial Cells (unassigned)	Epithelial
TRABD2B	Epithelial Cells (unassigned)	Epithelial
SLC13A3	Epithelial Cells (unassigned)	Epithelial
PBX1	Epithelial Cells (unassigned)	Epithelial
C10orf11	Epithelial Cells (unassigned)	Epithelial
PTPRD	Epithelial Cells (unassigned)	Epithelial
LRP2	Epithelial Cells (unassigned)	Epithelial
MACROD2	Epithelial Cells (unassigned)	Epithelial
GMDS-AS1	Epithelial Cells (unassigned)	Epithelial
MAST4	Epithelial Cells (unassigned)	Epithelial
CALD1	Epithelial Cells (unassigned)	Epithelial
MEIS2	Epithelial Cells (unassigned)	Epithelial
FARP1	Epithelial Cells (unassigned)	Epithelial
EPB41L3	Epithelial Cells (unassigned)	Epithelial
CPQ	Epithelial Cells (unassigned)	Epithelial
GPX3	Epithelial Cells (unassigned)	Epithelial
ZBTB16	Epithelial Cells (unassigned)	Epithelial
TLN2	Epithelial Cells (unassigned)	Epithelial
PLCL1	Epithelial Cells (unassigned)	Epithelial
SLC5A12	Epithelial Cells (unassigned)	Epithelial
NPAS3	Epithelial Cells (unassigned)	Epithelial
RAPGEF2	Epithelial Cells (unassigned)	Epithelial
PTPRO	Podocytes	Epithelial
MAGI2	Podocytes	Epithelial
PTPRQ	Podocytes	Epithelial
PLA2R1	Podocytes	Epithelial
NPHS2	Podocytes	Epithelial
CLIC5	Podocytes	Epithelial
NTNG1	Podocytes	Epithelial
NPHS1	Podocytes	Epithelial
ST6GALNAC3	Podocytes	Epithelial
PODXL	Podocytes	Epithelial
CTGF	Podocytes	Epithelial
PLCE1	Podocytes	Epithelial
DPP6	Podocytes	Epithelial
NPAS3	Podocytes	Epithelial
FGF1	Podocytes	Epithelial
ADAMTS19	Podocytes	Epithelial
CTC-340A15.2	Podocytes	Epithelial
FMN2	Podocytes	Epithelial
CH17-437K3.1	Podocytes	Epithelial
DACH1	Podocytes	Epithelial
MAGI2-AS3	Podocytes	Epithelial
TARID	Podocytes	Epithelial
IQCJ-SCHIP1	Podocytes	Epithelial
SPOCK1	Podocytes	Epithelial
NPNT	Podocytes	Epithelial
C14orf37	Podocytes	Epithelial
SPOCK2	Podocytes	Epithelial
NFASC	Podocytes	Epithelial
SEMA5A	Podocytes	Epithelial
RP11-550H2.2	Podocytes	Epithelial
CDC14A	Podocytes	Epithelial
NEBL	Podocytes	Epithelial
ZNF804A	Podocytes	Epithelial
ATP10A	Podocytes	Epithelial
ABLIM2	Podocytes	Epithelial
NES	Podocytes	Epithelial
MME	Podocytes	Epithelial
ALS2CL	Podocytes	Epithelial
RYR3	Podocytes	Epithelial
ARHGAP28	Podocytes	Epithelial
HTRA1	Podocytes	Epithelial
UNC5C	Podocytes	Epithelial
SULF1	Podocytes	Epithelial
ARHGEF26	Podocytes	Epithelial
CR1	Podocytes	Epithelial
TGFBR3	Podocytes	Epithelial
DACH2	Podocytes	Epithelial
SRGAP2	Podocytes	Epithelial
PCOLCE2	Podocytes	Epithelial
FYN	Podocytes	Epithelial
WIPF3	Podocytes	Epithelial
SRGAP2C	Podocytes	Epithelial
ENPEP	Podocytes	Epithelial
VEGFA	Podocytes	Epithelial
LRRC2	Podocytes	Epithelial
CDKN1C	Podocytes	Epithelial
CMAHP	Podocytes	Epithelial
COL4A3	Podocytes	Epithelial
ST3GAL6	Podocytes	Epithelial
KIRREL	Podocytes	Epithelial
ZDHHC6	Podocytes	Epithelial
IQGAP2	Podocytes	Epithelial
PARD3B	Podocytes	Epithelial
RBFOX1	Podocytes	Epithelial
FRY	Podocytes	Epithelial
KLHL29	Podocytes	Epithelial
CBLB	Podocytes	Epithelial
INTS12	Podocytes	Epithelial
TENM2	Podocytes	Epithelial
VTI1A	Podocytes	Epithelial
MGAT5	Podocytes	Epithelial
CRIM1	Podocytes	Epithelial
