genes,ID,logFC,AveExpr,t,P.Value,adj.P.Val,B
ENSG00000183018.8;SPNS2,SPNS2,2.91042582506466,-1.22436230677626,5.96075488971826,3.59945540914412e-05,0.000841199651146613,2.11705712322109
ENSG00000120328.6;PCDHB12,PCDHB12,2.00456803446117,-0.820333528425812,5.80148929425164,4.73825784846091e-05,0.00102253813102635,2.10750239225722
ENSG00000204525.16;HLA-C,HLA-C,-0.352045320910633,9.79572844984772,-6.61440173039462,1.20852852288045e-05,0.000348821894928837,2.10624093370354
ENSG00000089693.10;MLF2,MLF2,-0.23540173962024,7.35144516842336,-6.38044269112758,1.77405148925699e-05,0.000477057065649188,2.09637834159273
ENSG00000171435.13;KSR2,KSR2,-1.97205819702113,0.100359900330662,-5.70133009318282,5.64257677464656e-05,0.0011873837966042,2.09435362091504
ENSG00000179855.6;GIPC3,GIPC3,-0.771623198141064,1.53038923258927,-5.81148647662329,4.65671970356545e-05,0.00101508136677272,2.08785224436497
ENSG00000185513.16;L3MBTL1,L3MBTL1,0.465240701362724,4.619944166163,6.1140640375889,2.7718126969555e-05,0.000683081445875826,2.08272999868436
ENSG00000203772.7;SPRN,SPRN,2.6672263571264,-1.43625710705042,5.91729359753151,3.87849093471229e-05,0.000887216208641715,2.0802025946483
ENSG00000180530.10;NRIP1,NRIP1,-0.415526932547052,6.29644799456951,-6.27057100797485,2.1300233396189e-05,0.000551480343748999,2.07792721362124
ENSG00000138623.10;SEMA7A,SEMA7A,-0.685154451499591,3.00975167495247,-5.90167623341247,3.98421280866146e-05,0.00090395605427787,2.07709168178551
ENSG00000165325.13;DEUP1,DEUP1,-3.26501000685165,-2.57274672288223,-5.82995842217883,4.50989828184439e-05,0.00099535144372511,2.07103263879839
ENSG00000116191.17;RALGPS2,RALGPS2,-0.329196472856588,7.20267500605708,-6.35120232674516,1.86222121900565e-05,0.000496694504558928,2.06993466804346
ENSG00000198786.2;MT-ND5,MT-ND5,0.420686459714284,10.2333024398962,6.60378185595333,1.22957121246723e-05,0.000353665423893681,2.06871246711946
