genes,ID,logFC,AveExpr,t,P.Value,adj.P.Val,B
ENSG00000270106.6;TSNAX-DISC1,TSNAX-DISC1,2.95531447864289,-1.32161655126192,3.07821338733067,0.00824298269134379,0.0175318918672598,-2.43879606795051
ENSG00000166575.16;TMEM135,TMEM135,-0.874545788325169,4.3544383374596,-3.75820016942637,0.0021459866429058,0.00545160233664233,-2.44019534083305
ENSG00000085274.15;MYNN,MYNN,0.248450426172275,4.95968337617397,3.84847338169941,0.00179696518107434,0.00466787958680165,-2.44162055388315
ENSG00000047597.6;XK,XK,1.15648541551165,-1.54333169148129,3.12754253216328,0.00747601964222321,0.0161192865295396,-2.4416916581446
ENSG00000204632.11;HLA-G,HLA-G,-1.28373564506487,-0.631664900217853,-3.16264974856152,0.00697376516508602,0.0151777356021863,-2.44231903225671
ENSG00000285155.1;AC092153.1,AC092153.1,-1.92996611841388,-1.3898260298018,-3.04134389032235,0.00886670064885263,0.0186342550168926,-2.44276232706951
ENSG00000130816.15;DNMT1,DNMT1,0.359407745379254,8.26754377360035,4.11905739187126,0.00105917278503912,0.00293830155975183,-2.44316760844233
ENSG00000221866.9;PLXNA4,PLXNA4,-2.27765970985404,-2.43151182926067,-3.08320101578793,0.00816201628114343,0.0173844062406126,-2.44446559017843
ENSG00000198873.11;GRK5,GRK5,0.520254074451745,1.93101797680127,3.48409794178047,0.00368781970977538,0.0087212316269609,-2.44546381081831
ENSG00000235162.8;C12orf75,C12orf75,0.246212648835123,6.66118310536833,3.97468875393877,0.00140330396777507,0.00376824227999149,-2.44579600502008
ENSG00000163900.10;TMEM41A,TMEM41A,0.278967901140202,5.0949323923412,3.84815605528991,0.00179808514346982,0.00466942466871041,-2.44814536415944
ENSG00000259782.2;AC008915.1,AC008915.1,0.655839087655157,1.36574112790446,3.40350265621404,0.00432627550819604,0.0100059594363464,-2.44832148357505
ENSG00000269779.1;AC010329.2,AC010329.2,0.842516947866619,0.492231133240465,3.33571974455694,0.00494844105500857,0.0112561403689268,-2.44874838543498
ENSG00000205111.8;CDKL4,CDKL4,2.14379359168069,-2.69609497348328,3.09859956729039,0.00791698736427231,0.0169274139334628,-2.45060554200824
