,logFC,AveExpr,t,P.Value,adj.P.Val,B
E2F5,1.8560327735156,0.0839013570970557,3.27988782590308,0.00586531010468889,0.0309261805519959,-2.55701318190776
ETV1,-1.62555123014343,0.121526406534244,-3.25175284980386,0.00619403299392976,0.0312894647367531,-2.61025247898968
MEF2A,-2.64117378793411,0.423302316971463,-3.25144220805233,0.00619776370095961,0.0312894647367531,-2.61084008437481
AHR,-2.39530724609706,0.249634972952526,-3.24646115839556,0.00625789294735062,0.0312894647367531,-2.62026149064188
TP53,-1.88153181020141,0.244615654913436,-3.23252547514614,0.00642924190711586,0.0316013585265017,-2.64661322573506
FOXJ2,-1.71182088784802,-0.018016358056837,-3.21328438597951,0.00667357280454448,0.0322556018886317,-2.68297968159383
NFE2,1.71471510722789,0.372281909816622,3.18005153228876,0.00711765658471055,0.0338380395010829,-2.74573924783985
BCL11A,-1.26476687337616,0.345657472612185,-3.15110256315276,0.00752849458879341,0.0351809856347952,-2.80035013193604
HBP1,1.78222132430264,-0.100995768022881,3.14333079227707,0.00764276584480033,0.0351809856347952,-2.81500121495012
GATA4,-1.55112757750404,0.082694778833116,-3.1333355956845,0.00779227664139533,0.0353087535313226,-2.83383730631721
HSF1,-1.37277401156858,-0.333739234100828,-3.11889833669611,0.00801339712594874,0.0357520794850021,-2.86103116814587
RFX1,-1.54902269455971,0.106468809150327,-3.1031240072112,0.00826215178126474,0.0363033941904057,-2.89072477398744
TFDP1,1.84784023831644,-0.241400536318705,3.08275582742433,0.00859475948415244,0.037201197767227,-2.92903551732047
ZBTB33,-1.88000586594747,-0.346991513504381,-3.07108848676722,0.00879125352498731,0.0372804128136061,-2.95096468905302
NFKB1,-1.26340300260685,-0.210289233838885,-3.06647564213381,0.0088701671866856,0.0372804128136061,-2.95963135990516
ZBTB11,-2.76653916471893,-0.370883677139897,-3.02846836447358,0.0095477541642866,0.0395549815377588,-3.03096472591721
SOX11,-1.68146013753845,0.0321824322349979,-3.01576798330494,0.00978544230789927,0.0399687080181801,-3.05476997572475
NR2F1,-1.8028815013599,0.520673739644484,-3.00167365153285,0.0100560962733827,0.0405037211011247,-3.08116872356871
TBP,-1.12442939961631,0.00421963659559933,-2.97065895859696,0.0106780834378491,0.0424197835202225,-3.13918474277625
HNF4G,-1.49790770178122,0.241722120112637,-2.95330705082507,0.0110425354528511,0.0432748010990109,-3.17159630856437
TCF3,1.53647095786076,0.108500465047725,2.94100032920689,0.0113084538511649,0.0437260215578375,-3.19456270400337
EHF,1.78953127756378,4.00551849056172e-05,2.92995503174029,0.0115525015837759,0.0440819139380922,-3.21515959913236
TCF12,-1.74399591240484,0.366229952908076,-2.85975223103296,0.0132298209016483,0.049826598201013,-3.3457069305549
GABPA,-1.42907080761187,-0.114056909748022,-2.8460181782345,0.0135849822678856,0.0505082674062413,-3.37116810457306
NFE2L1,-1.46980500636923,0.196468383413294,-2.83925500938232,0.0137633085130755,0.0505235375796444,-3.38369619126881
SREBF2,0.871817234876862,0.32723669689229,2.7957092172502,0.0149678636635608,0.054258505780408,-3.46419674506924
MIER1,-1.83000103341565,-0.470175698264395,-2.77100835723877,0.0156965170660705,0.0561974067797586,-3.50972820698983
