,logFC,AveExpr,t,P.Value,adj.P.Val,B
BACH2,-1.30096128514206,-0.00965361997893904,-2.72589110807328,0.0171181854849002,0.0286952242232431,-3.47026784122811
REST,-1.17530484077707,0.114215150243323,-2.71184019351332,0.0175861101271697,0.0293101835452828,-3.49582018056297
NCOA2,-2.37664858875357,0.101537453565017,-2.69020800324018,0.0183310186918666,0.0303771166893789,-3.53509116242401
ELK4,-1.16770805770558,0.114058286064356,-2.68114630191593,0.0186521278003068,0.0307336196709601,-3.55151652403308
NCOR1,2.08917943004804,-0.148223127137059,2.65932411804609,0.0194480744380827,0.0318640767629603,-3.59100890989767
ZNF24,-1.83523830723674,0.103669097853234,-2.538170312693,0.0245041254582176,0.0399224515892308,-3.8085207299455
E2F1,1.29761578755721,0.150901170459978,2.53195758557133,0.0247951014068816,0.0401708346815401,-3.81958898916721
ZFX,1.57140463026557,-0.308513224437139,2.51775270884295,0.0254729742570758,0.040893497041719,-3.84486210061545
NANOG,1.19278372319737,-0.1799394095192,2.51671513929821,0.0255231826363833,0.040893497041719,-3.84670628306612
KMT2A,-2.90389048466339,0.238516210547903,-2.46807811143466,0.027986722374371,0.0445942279591625,-3.9328637521587
MYCN,1.00652969516539,-0.199552288540639,2.46248589839026,0.0282842144557611,0.0448219791921897,-3.94273267150987
HMBOX1,1.71055581756593,-0.136787702169003,2.45761137571282,0.0285460022236568,0.044990981765546,-3.95132859367029
ZBTB33,1.72872218414743,-0.346991513504381,2.44561991602301,0.0291999416288491,0.0457728814722499,-3.97244900045989
STAT5A,-1.50790961290593,0.273005362115223,-2.42165138106112,0.0305503409487336,0.0476322520168428,-4.01455260044047
ARID1B,-1.45302802683307,0.105175122583554,-2.41489808913233,0.0309414967462797,0.0479841393391503,-4.02638814447998
MYOD1,-1.90320237933839,0.272616611290506,-2.36860330718506,0.033754698776456,0.0520684183253842,-4.10718731787263
SNAI2,1.79001166076879,-0.112723107529188,2.31240049020361,0.0374980332002114,0.057536664698737,-4.20445715890061
PRDM1,-1.37972136057137,0.127011338725472,-2.26682426358748,0.040819489914517,0.0623034319747891,-4.28263391796611
TAF1,-1.48512890191505,-0.0218281545647106,-2.2441964336326,0.0425700626510739,0.0646219172338027,-4.32120256123102
GATA6,-1.6199663062992,0.199546087478557,-2.24114783421374,0.0428112563758998,0.0646219172338027,-4.32638608196315
MNT,2.45954345297766,-0.34269185135012,2.23868558335382,0.0430070000900825,0.0646219172338027,-4.3305704033894
FOXJ2,-1.36945035744474,-0.018016358056837,-2.2262183989222,0.0440111244268338,0.0656120494207613,-4.3517261588934
ARID1A,-1.2543442004892,0.169287376981859,-2.22490176560801,0.044118447024305,0.0656120494207613,-4.35395734935609
NRF1,-1.1175847177624,0.187150418038739,-2.19885096312307,0.0462932094388955,0.0684950547820393,-4.39798295025965
LHX2,-1.13524911786844,0.278786403789803,-2.17982977182662,0.0479442762973692,0.0705778686611019,-4.42998116426862
